Emotion,Correlation,p_value,Significant
Frustrated,0.153,0.122,No
upset,0.108,0.276,No
hostile,0.062,0.535,No
alert,-0.009,0.929,No
ashamed,0.044,0.658,No
inspired,0.039,0.694,No
nervous,-0.016,0.875,No
attentive,0.067,0.5,No
afraid,0.049,0.618,No
active,0.005,0.956,No
determined,-0.022,0.827,No
