,Test_Subject,Total_Puzzle_Samples,Anomalies_Flagged,Rate_p1%,Rate_p2%,Rate_p3%,PCA_Components_Used
count,26.0,26.0,26.0,26.0,26.0,26.0,26.0
mean,13.5,4.0,3.8461538461538463,25.96153846153846,96.15384615384616,93.26923076923077,23.96153846153846
std,7.648529270389178,0.0,0.4640954808922571,14.967914401761574,11.602387022306429,15.095847620607971,0.19611613513818404
min,1.0,4.0,2.0,0.0,50.0,50.0,23.0
25%,7.25,4.0,4.0,25.0,100.0,100.0,24.0
50%,13.5,4.0,4.0,25.0,100.0,100.0,24.0
75%,19.75,4.0,4.0,25.0,100.0,100.0,24.0
max,26.0,4.0,4.0,50.0,100.0,100.0,24.0
